Date,Open,High,Low,Close,Volume
2020-02-19,10.34,10.34,10.34,10.34,5000
2020-02-20,10.34,10.49,10.34,10.38,50500
2020-02-21,10.38,10.62,10.37,10.49,2217800
2020-02-24,10.34,10.47,10.34,10.45,99100
2020-02-25,10.45,10.45,10.4,10.4,1900
2020-02-26,10.44,10.44,10.39,10.39,1100
2020-02-27,10.38,10.397,10.35,10.397,9600
2020-02-28,10.38,10.385,10.34,10.37,489200
2020-03-02,10.37,10.37,10.35,10.35,200100
2020-03-03,11.64,12.2,11.24,11.5,18067500
2020-03-04,12.5,15.45,12,14.7,16682300
2020-03-05,14.78,16.25,14.5,14.7,7858000
2020-03-06,13.9,14.28,12.76,13.74,2948800
2020-03-09,12.99,13,11.28,11.76,3149800
2020-03-10,12.74,12.8,11.61,12,1671800
2020-03-11,11.99,12,11.18,11.35,1602600
2020-03-12,11,11.57,10.56,11.02,2165700
2020-03-13,11.5,11.76,10.75,11.24,837100
2020-03-16,10.75,11.42,10.51,10.94,1089300
2020-03-17,11,11.17,10.7,10.76,797800
2020-03-18,10.6,10.907,10.42,10.5,1043400
2020-03-19,10.5,11.33,10.451,10.7,964600
2020-03-20,10.74,11.22,10.61,10.65,802500
2020-03-23,10.56,11.14,10.56,10.7,655600
2020-03-24,11.06,11.18,10.75,10.81,853600
2020-03-25,10.91,11.31,10.7,10.95,535100
2020-03-26,10.9,11.23,10.9,11.05,383500
2020-03-27,11,11.04,10.82,10.88,273800
2020-03-30,10.96,11.13,10.9,10.975,228200
2020-03-31,11.15,11.15,10.55,10.64,705900
2020-04-01,10.65,10.729,10.52,10.59,422400
2020-04-02,10.51,10.85,10.51,10.8,225000
2020-04-03,10.8,10.85,10.71,10.8,179900
2020-04-06,11,11.18,10.81,11,448600
2020-04-07,11.2,11.2,10.84,10.94,451600
2020-04-08,11.12,11.33,10.9,11.01,495100
2020-04-09,11.26,11.48,10.99,11.12,438400
2020-04-13,11.25,12.05,11.05,11.75,1160000
2020-04-14,12.4,12.68,11.96,12.14,1167200
2020-04-15,12.14,12.2,11.35,11.8,662300
2020-04-16,11.95,11.95,11.5,11.7,264200
2020-04-17,12,12,11.61,11.74,325300
2020-04-20,11.88,12.43,11.67,12.11,1159800
2020-04-21,12.25,12.25,11.32,11.64,581700
2020-04-22,11.83,12.34,11.72,12.05,935200
2020-04-23,12.15,12.45,12.1,12.33,645200
2020-04-24,12.57,13.3,12.35,12.7,1660200
2020-04-27,13.04,14.9,13,14.35,2672800
2020-04-28,14.8,14.85,13.52,13.9,1310900
2020-04-29,14.29,14.376,13.56,13.94,2289000
2020-04-30,14.12,14.12,13.1,13.25,1253300
2020-05-01,13.28,13.44,12.73,13,955500
2020-05-04,13.1,13.55,12.9,13.09,892400
2020-05-05,13.47,13.88,13.13,13.23,992600
2020-05-06,13.44,13.44,13.1,13.18,696000
2020-05-07,14.19,15.25,14.01,14.85,2656300
2020-05-08,16.040001,18.290001,15.555,16.51,6397000
2020-05-11,18.969999,21.530001,17.610001,20.379999,11042300
2020-05-12,22,27.700001,20.66,27.1,19784600
