Date,Open,High,Low,Close,Volume
2018-06-12,9.56,9.56,9.56,9.56,300000
2018-06-13,9.57,9.58,9.56,9.57,179100
2018-06-14,9.57,9.57,9.57,9.57,0
2018-06-15,9.57,9.57,9.57,9.57,0
2018-06-18,9.54,9.58,9.54,9.58,300
2018-06-19,9.57,9.57,9.57,9.57,300500
2018-06-20,9.54,9.59,9.54,9.59,900
2018-06-21,9.59,9.59,9.59,9.59,0
2018-06-22,9.58,9.58,9.58,9.58,100
2018-06-25,9.58,9.58,9.58,9.58,0
2018-06-26,9.54,9.59,9.54,9.58,658100
2018-06-27,9.58,9.58,9.58,9.58,0
2018-06-28,9.58,9.58,9.58,9.58,0
2018-06-29,9.58,9.58,9.58,9.58,0
2018-07-02,9.58,9.58,9.58,9.58,0
2018-07-03,9.58,9.58,9.58,9.58,0
2018-07-05,9.58,9.58,9.58,9.58,0
2018-07-06,9.58,9.58,9.58,9.58,0
2018-07-09,9.58,9.58,9.58,9.58,0
2018-07-10,9.54,9.54,9.54,9.54,100000
2018-07-11,9.54,9.54,9.54,9.54,100000
2018-07-12,9.54,9.54,9.54,9.54,170000
2018-07-13,9.54,9.54,9.54,9.54,11300
2018-07-16,9.53,9.59,9.52,9.544,551500
2018-07-17,9.54,9.57,9.54,9.57,201100
2018-07-18,9.567,9.567,9.55,9.55,125900
2018-07-19,9.543,9.543,9.54,9.541,80000
2018-07-20,9.541,9.541,9.541,9.541,0
2018-07-23,9.544,9.544,9.544,9.544,1000
2018-07-24,9.547,9.55,9.547,9.55,4400
2018-07-25,9.55,9.55,9.55,9.55,21300
2018-07-26,9.55,9.55,9.54,9.54,350000
2018-07-27,9.54,9.54,9.54,9.54,0
2018-07-30,9.55,9.55,9.55,9.55,51900
2018-07-31,9.568,9.568,9.56,9.56,6500
2018-08-01,9.568,9.568,9.55,9.55,6600
2018-08-02,9.55,9.55,9.55,9.55,0
2018-08-03,9.55,9.55,9.55,9.55,300
2018-08-06,9.55,9.55,9.55,9.55,21000
2018-08-07,9.55,9.55,9.55,9.55,0
2018-08-08,9.55,9.55,9.55,9.55,0
2018-08-09,9.55,9.55,9.55,9.55,0
2018-08-10,9.55,9.55,9.55,9.55,0
2018-08-13,9.55,9.55,9.55,9.55,0
2018-08-14,9.55,9.55,9.55,9.55,0
2018-08-15,9.51,9.57,9.51,9.56,20800
2018-08-16,9.56,9.56,9.56,9.56,0
2018-08-17,9.56,9.56,9.56,9.56,0
2018-08-20,9.6,9.6,9.58,9.58,1100
2018-08-21,9.58,9.58,9.58,9.58,0
2018-08-22,9.64,9.64,9.52,9.57,285100
2018-08-23,9.58,9.58,9.56,9.58,5800
2018-08-24,9.58,9.58,9.56,9.58,5200
2018-08-27,9.58,9.58,9.55,9.57,27000
2018-08-28,9.55,9.58,9.55,9.57,76700
2018-08-29,9.58,9.58,9.54,9.58,354700
2018-08-30,9.58,9.58,9.58,9.58,5000
2018-08-31,9.58,9.58,9.58,9.58,14100
2018-09-04,9.58,9.58,9.55,9.57,505200
2018-09-05,9.57,9.57,9.57,9.57,4700
2018-09-06,9.58,9.65,9.57,9.6,1991300
2018-09-07,9.6,9.6,9.57,9.59,154800
2018-09-10,9.58,9.59,9.57,9.59,283400
2018-09-11,9.59,9.59,9.59,9.59,0
2018-09-12,9.59,9.59,9.59,9.59,0
2018-09-13,9.58,9.58,9.58,9.58,65500
