Date,Open,High,Low,Close,Volume
2022-03-21,378.019989,381.820007,368.940002,374.589996,4866500
2022-03-22,371.140015,386.660004,366.76001,382.920013,4242800
2022-03-23,379.769989,382.459991,374.48999,374.48999,3729000
2022-03-24,379.76001,379.76001,368.899994,375.709991,3888500
2022-03-25,377.070007,377.640015,366.429993,373.850006,3574500
2022-03-28,375.230011,380.279999,366.730011,378.51001,4323400
2022-03-29,384.390015,396.5,380.329987,391.820007,5880700
2022-03-30,389.549988,392.700012,378.630005,381.470001,4023300
2022-03-31,383.589996,384,373.609985,374.589996,4134700
2022-04-01,376.799988,380.869995,368.5,373.470001,4644200
2022-04-04,373.549988,396.019989,373.130005,391.5,7001800
2022-04-05,389.299988,390,377.309998,380.149994,4234500
2022-04-06,374.149994,376.470001,362.730011,368.350006,4354900
2022-04-07,365,368.540009,353.690002,362.149994,4948900
2022-04-08,361.959991,362.5,354.869995,355.880005,4025200
2022-04-11,350,354.779999,345.200012,348,3777100
2022-04-12,355.910004,359.410004,342.25,344.100006,3824300
2022-04-13,343.920013,352,341.160004,350.429993,3231000
2022-04-14,350.950012,352,339.859985,341.130005,4343800
2022-04-18,340,342.359985,331.619995,337.859985,5105000
2022-04-19,333.220001,351.679993,333.220001,348.609985,20906900
2022-04-20,245.199997,248.699997,212.509995,226.190002,133387500
2022-04-21,220,227.679993,211.520004,218.220001,53501600
2022-04-22,220.179993,226.270004,210.050003,215.520004,37515100
2022-04-25,213.809998,216.660004,204.509995,209.910004,28152000
2022-04-26,208.800003,209.149994,198.279999,198.399994,20318100
2022-04-27,194.009995,200.190002,187.770004,188.539993,22298400
2022-04-28,191.559998,201.479996,185.600006,199.520004,21363200
2022-04-29,198.679993,204.710007,190,190.360001,16391900
2022-05-02,191.710007,200.210007,190.009995,199.460007,14591600
2022-05-03,198.289993,203.199997,194.770004,199.869995,11839400
2022-05-04,197.649994,204.380005,191.009995,204.009995,12218800
2022-05-05,200.449997,200.710007,186,188.320007,13971300
2022-05-06,186.75,187.210007,175.809998,180.970001,17185500
2022-05-09,177.660004,183.199997,172.300003,173.100006,14031300
2022-05-10,176.009995,181.869995,170.570007,177.660004,13883900
2022-05-11,176.089996,180.919998,165.550003,166.369995,12665500
2022-05-12,163.960007,177.580002,162.710007,174.309998,17662100
2022-05-13,177.160004,187.770004,176.009995,187.639999,13136300
