Date,Open,High,Low,Close,Volume
2020-02-19,388.119995,392.950012,384.899994,386.190002,4896400
2020-02-20,386.559998,389.700012,376.679993,386,4079400
2020-02-21,385.329987,387.320007,377.899994,380.070007,3930100
2020-02-24,364.76001,372.820007,361,368.700012,6936400
2020-02-25,372,375.649994,357.720001,360.089996,6481200
2020-02-26,366.309998,382,365,379.23999,8934100
2020-02-27,371.459991,391.559998,370.600006,371.709991,10967700
2020-02-28,364.209991,376.769989,356.799988,369.029999,11168600
2020-03-02,373.109985,381.359985,364.5,381.049988,6997900
2020-03-03,381.029999,393.519989,367.399994,368.769989,8364600
2020-03-04,377.769989,384.01001,370.51001,383.790009,5487300
2020-03-05,381,391.399994,368.640015,372.779999,8747000
2020-03-06,367.700012,371.309998,356.850006,368.970001,8147200
2020-03-09,343.859985,357.470001,341.720001,346.48999,7405500
2020-03-10,356.429993,364.540009,347.850006,364.130005,7604400
2020-03-11,358.920013,362.980011,344.790009,349.920013,6036000
2020-03-12,326.5,335.720001,307.320007,315.25,12071600
2020-03-13,330.51001,336.420013,307.390015,336.299988,9458200
2020-03-16,306.630005,334.350006,294.75,298.839996,10559900
2020-03-17,306.190002,322.899994,290.25,319.75,10013900
2020-03-18,302.399994,331.579987,300,315.470001,12593600
2020-03-19,324.329987,348.51001,316.820007,332.029999,10616000
2020-03-20,342.309998,350.48999,332,332.829987,10853800
2020-03-23,347.890015,366.109985,340.880005,360.269989,13449400
2020-03-24,369.98999,372.929993,353.029999,357.320007,11638700
2020-03-25,361.019989,362,339.170013,342.390015,8767200
2020-03-26,344,363.839996,341.730011,362.98999,7229600
2020-03-27,359.089996,368.559998,353,357.119995,7948800
2020-03-30,363,377.799988,361.170013,370.959991,8622000
2020-03-31,367.929993,383.01001,366.440002,375.5,9366500
2020-04-01,376.049988,380.230011,361.019989,364.079987,6672500
2020-04-02,364.079987,370.98999,360.059998,370.079987,4592500
2020-04-03,367.470001,370.899994,357.51001,361.76001,4860800
2020-04-06,365.220001,380.290009,361.709991,379.959991,8183900
2020-04-07,380,381.329987,369.339996,372.279999,7046400
2020-04-08,374.01001,378.390015,368.309998,371.119995,6908900
2020-04-09,371.059998,372.100006,363.029999,370.720001,7711300
2020-04-13,371.309998,400.51001,367.700012,396.720001,11692900
2020-04-14,397.5,417.820007,394.850006,413.549988,11581000
2020-04-15,413,434.980011,412.25,426.75,13561200
2020-04-16,437,449.519989,431.609985,439.170013,16128700
2020-04-17,431,432,414.700012,422.959991,12616300
2020-04-20,435.170013,444.48999,430.559998,437.48999,12655800
2020-04-21,444.769989,447,425.600006,433.829987,23177600
2020-04-22,429.730011,433,413,421.420013,21084800
2020-04-23,419.26001,438.410004,419.26001,426.700012,13952300
2020-04-24,425,427.170013,415.880005,424.98999,8658900
2020-04-27,425,429,420.839996,421.380005,6277500
2020-04-28,419.98999,421,402.910004,403.829987,10101200
2020-04-29,399.529999,415.859985,393.600006,411.890015,9693100
2020-04-30,410.309998,424.440002,408,419.850006,7954000
2020-05-01,415.100006,427.970001,411.730011,415.269989,8299900
2020-05-04,417.779999,428.540009,414.869995,428.149994,7799100
2020-05-05,427.559998,431,421.559998,424.679993,6286300
2020-05-06,429.299988,439.769989,426.390015,434.26001,6660700
2020-05-07,436.890015,438.880005,430.660004,436.529999,5641900
2020-05-08,434.140015,442,433.640015,435.549988,5049300
2020-05-11,436.329987,444.890015,435.559998,440.519989,5486000
2020-05-12,442,444.170013,431.359985,431.820007,4598200
2020-05-13,435.690002,447,427.269989,438.269989,7014600
2020-05-14,444.899994,452.380005,432.820007,441.950012,9007500
2020-05-15,440.700012,455,437.51001,454.190002,7244000
2020-05-18,451.160004,456.359985,443.350006,452.579987,7773500
2020-05-19,453.399994,458.970001,450.470001,451.040009,4810500
2020-05-20,454.25,455.809998,444,447.670013,5607300
2020-05-21,448.559998,448.959991,430.25,436.25,9117300
2020-05-22,437,439.089996,427.179993,429.320007,5422300
2020-05-26,427.769989,428.5,413.140015,414.769989,7881100
2020-05-27,410.380005,420.019989,397.859985,419.890015,10446300
2020-05-28,417.23999,422.369995,411.5,413.440002,5655100
2020-05-29,417.459991,420.299988,411.850006,419.730011,5254900
2020-06-01,418.829987,426.720001,415.980011,425.920013,3743700
2020-06-02,425.869995,427.589996,419.459991,427.309998,3494800
2020-06-03,426.950012,427.100006,418.049988,421.970001,4316000
2020-06-04,422.390015,428.709991,410.029999,414.329987,5410500
2020-06-05,407.290009,420.23999,404.25,419.600006,5099600
2020-06-08,416,420.799988,406.5,419.48999,5851500
2020-06-09,421.649994,434.730011,420.309998,434.049988,6797000
2020-06-10,436,439.690002,430.549988,434.480011,4896900
2020-06-11,428.200012,445.570007,424.160004,425.559998,7462900
2020-06-12,429,434.059998,412.450012,418.070007,6461100
2020-06-15,421.399994,426.48999,415.420013,425.5,4467900
2020-06-16,425.76001,437.959991,425.179993,436.130005,5507900
2020-06-17,441.820007,450.459991,439.220001,447.769989,6529600
2020-06-18,448.730011,452.76001,442.799988,449.869995,4277600
2020-06-19,449.119995,453.970001,445.600006,453.720001,5934500
2020-06-22,455.01001,468.589996,454.209991,468.040009,6272100
2020-06-23,466.5,474.01001,464.5,466.26001,5948400
2020-06-24,468.540009,472.359985,454,457.850006,4826200
2020-06-25,458.859985,467.01001,454,465.910004,4134500
2020-06-26,466.390015,468.029999,442.23999,443.399994,6804700
2020-06-29,445.230011,447.670013,432.140015,447.23999,4844000
2020-06-30,450.019989,457.589996,447,455.040009,4198500
