Date,Open,High,Low,Close,Volume
2022-03-21,161.121002,163.084,159.552994,161.491501,66538000
2022-03-22,161.805496,166.167007,161.699005,164.889008,64086000
2022-03-23,163.705002,166.369995,162.686996,163.408005,55812000
2022-03-24,163.749496,164.1185,160.050003,163.649506,56798000
2022-03-25,164,165.3685,162.25,164.773499,49032000
2022-03-28,164.975006,169.037506,164.899994,168.990494,59854000
2022-03-29,170.384003,170.831497,167.8685,169.315002,66154000
2022-03-30,168.509506,168.9505,165.5,166.300995,56168000
2022-03-31,166.445007,166.494995,162.953506,162.997498,59966000
2022-04-01,164.149506,165.826996,162.319504,163.559998,57090000
2022-04-04,164.125,168.394501,163.205505,168.346497,49882000
2022-04-05,167.741501,168.110504,163.266006,164.054993,53728000
2022-04-06,161.650497,162.199997,157.254501,158.755997,79056000
2022-04-07,158.399994,160.078995,154.511505,157.7845,68136000
2022-04-08,156.75,157.3685,154.231003,154.460495,46002000
2022-04-11,152.712997,154.136505,150.5345,151.121994,52112000
2022-04-12,153.692505,155.098999,150.382996,150.787506,55178000
2022-04-13,150.018494,156.024994,149.600006,155.541,53390000
2022-04-14,155.389999,155.897003,151.472,151.706497,51598000
2022-04-18,151.523499,154.039505,150.250504,152.785004,46514000
2022-04-19,152.029495,158.649002,151.550507,158.115494,54926000
2022-04-20,157.602493,157.602493,153.6035,153.998001,59630000
2022-04-21,154.714005,156.738007,147.589493,148.296005,63970000
2022-04-22,148.25,149.615005,143.697495,144.350006,73078000
2022-04-25,144.022995,146.221497,142.306503,146.074005,61874000
2022-04-26,144.800003,144.856003,138.929504,139.391006,77530000
2022-04-27,140.191498,141.948502,135.783493,138.167007,71336000
2022-04-28,142.177994,145.9375,140.300003,144.596497,117316000
2022-04-29,129.848999,130.761002,121.625,124.281502,272662000
2022-05-02,122.401001,124.667999,118.375,124.5,148788000
2022-05-03,124.053497,126.220497,122.824997,124.253502,79134000
2022-05-04,123.599998,126,119.182999,125.928497,110746000
2022-05-05,123,123.499001,115.072502,116.406998,144392000
2022-05-06,114.849998,119.050499,113.081497,114.772499,124260000
2022-05-09,111.3125,114,107.957001,108.789001,128124000
2022-05-10,111.25,112.642502,107.170998,108.859001,105434000
2022-05-11,108.1035,110.155998,104.428497,105.372002,109704000
2022-05-12,102.75,110.780502,102.405502,106.930496,132026000
2022-05-13,109.069,113.183998,107.800003,113.055,93684000
2022-05-16,113.099998,113.9925,110.353996,110.810501,74566000
2022-05-17,113.275002,115.800003,111.276497,115.3685,76448000
2022-05-18,111.439499,112.852997,106.249001,107.112503,108380000
2022-05-19,106.280502,110.033997,106.193001,107.319,88142000
2022-05-20,109.568497,109.898003,105.009499,107.591003,99500000
2022-05-23,108.460999,108.819,103.949997,107.556999,107798000
2022-05-24,104.025002,105.400002,101.260002,104.099998,102934000
2022-05-25,103.655502,108.175003,103.650002,106.775002,93120000
2022-05-26,107.970001,112.665497,107.453499,111.077499,93002000
2022-05-27,113.550003,115.186996,112.627998,115.1465,93660000
2022-05-31,116.279999,121.994499,115.675003,120.209503,144634000
2022-06-01,122.255997,125.179001,120.622498,121.683998,127528000
2022-06-02,121.683998,125.610001,120.044998,125.511002,100560000
2022-06-03,124.199997,124.400002,121.046501,122.349998,97604000
2022-06-06,125.25,128.990005,123.809998,124.790001,135269000
2022-06-07,122.010002,124.099998,120.629997,123,85156700
2022-06-08,122.610001,123.75,120.75,121.18,64926600
2022-06-09,119.989998,121.300003,116.099998,116.150002,67029800
2022-06-10,113.419998,114.5,109.050003,109.650002,87266000
2022-06-13,104.190002,106.540001,101.860001,103.669998,99277700
2022-06-14,104.190002,104.879997,101.43,102.309998,69728800
2022-06-15,103.860001,109.059998,103.529999,107.669998,85011100
2022-06-16,104.470001,104.580002,102.010002,103.660004,82186300
2022-06-17,102.800003,106.980003,102.510002,106.220001,99772100
2022-06-21,108.199997,111.629997,103.559998,108.68,70901200
2022-06-22,107.43,112.129997,107.019997,108.949997,60040100
2022-06-23,110.389999,113,107.93,112.440002,64345300
2022-06-24,112.379997,116.709999,111.43,116.459999,69867600
2022-06-27,117.089996,117.980003,112.699997,113.220001,62133200
2022-06-28,113.5,114.849998,107.040001,107.400002,74942900
2022-06-29,107.379997,110.989998,106.910004,108.919998,66375300
2022-06-30,108.110001,108.18,102.519997,106.209999,97679400
2022-07-01,106.290001,109.75,105.849998,109.559998,73021200
2022-07-05,107.599998,114.080002,106.32,113.5,76583700
2022-07-06,113.209999,115.480003,112.010002,114.330002,66958900
2022-07-07,113.849998,116.989998,113.489998,116.330002,57872300
2022-07-08,114.599998,116.580002,113.690002,115.540001,45719700
2022-07-11,114.080002,114.300003,110.870003,111.75,53487600
2022-07-12,112.160004,113.230003,108.339996,109.220001,54280300
2022-07-13,107.029999,111.779999,106.010002,110.400002,61353800
2022-07-14,110.239998,111.18,107.580002,110.629997,51163100
2022-07-15,112.5,115.589996,111.589996,113.550003,84317800
2022-07-18,115,117.239998,113.150002,113.760002,59115400
2022-07-19,115.699997,118.949997,114.029999,118.209999,60990000
2022-07-20,118.620003,123.480003,118.32,122.769997,71268300
2022-07-21,123.199997,124.849998,121.260002,124.629997,60239900
2022-07-22,125.010002,125.5,121.349998,122.419998,51463800
2022-07-25,122.699997,123.639999,120.029999,121.139999,50221300
2022-07-26,115.790001,118.150002,114.529999,114.809998,67075100
2022-07-27,117.309998,121.900002,117.160004,120.970001,61582000
2022-07-28,121.57,122.839996,118.080002,122.279999,82245500
2022-07-29,134.899994,137.649994,132.410004,134.949997,148892900
2022-08-01,134.960007,138.830002,133.509995,135.389999,76846900
2022-08-02,134.720001,137.440002,134.089996,134.160004,61922400
2022-08-03,136.210007,140.490005,136.050003,139.520004,71827800
2022-08-04,140.580002,143.559998,139.550003,142.570007,70585000
2022-08-05,140.100006,142.860001,139.600006,140.800003,50686900
2022-08-08,142.050003,144.229996,138.289993,139.410004,52229000
2022-08-09,138.050003,138.949997,136.210007,137.830002,40434700
2022-08-10,142.899994,144.600006,141.009995,142.690002,54773800
2022-08-11,143.860001,144.490005,139.759995,140.639999,44867300
2022-08-12,142.050003,143.570007,140.119995,143.550003,47643500
2022-08-15,142.800003,143.759995,141.490005,143.179993,39014600
2022-08-16,143.910004,146.570007,142,144.779999,59102900
2022-08-17,142.690002,143.380005,140.779999,142.100006,48149800
2022-08-18,141.320007,142.770004,140.380005,142.300003,37458700
2022-08-19,140.470001,141.110001,137.910004,138.229996,47792800
2022-08-22,135.720001,136.320007,132.850006,133.220001,50461500
2022-08-23,133.410004,134.990005,132.949997,133.619995,36252100
2022-08-24,132.75,135.470001,132.100006,133.800003,38627000
2022-08-25,135.259995,137.419998,134.279999,137.279999,37496300
2022-08-26,136.550003,137.830002,130.5,130.75,53322700
2022-08-29,129.899994,131.949997,128.770004,129.789993,48101600
2022-08-30,131.25,132.070007,126.849998,128.729996,49203000
2022-08-31,129.449997,130.589996,126.739998,126.769997,53648700
2022-09-01,126,128.020004,123.660004,127.82,56636100
2022-09-02,129.5,131.380005,126.389999,127.510002,57429800
2022-09-06,127.919998,128.619995,124.739998,126.110001,43888600
2022-09-07,126.120003,129.820007,125.400002,129.479996,47900300
2022-09-08,127.720001,130.279999,127.099998,129.820007,43988500
2022-09-09,130.910004,133.690002,130.759995,133.270004,49387600
2022-09-12,134.100006,136.490005,134,136.449997,53826900
2022-09-13,131.009995,131.399994,126.269997,126.82,72694000
2022-09-14,127.360001,128.839996,126.330002,128.550003,45316800
2022-09-15,127.379997,130.369995,125.5,126.279999,52887200
2022-09-16,122.779999,123.870003,120.699997,123.529999,115667800
